name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Matto Grosso,2021-07-09,23.2,13.2,17.6,23.2,13.2,17.6,11.9,70.52,0,,0,,,,,24.5,49.1,1016.4,10.2,12.2,,,0,,2021-07-09T07:51:56,2021-07-09T17:48:42,1,Clear,Clear conditions throughout the day.,clear-day,"SUAA,86580099999,SUMU,86550199999,86585099999,86575099999"
Matto Grosso,2021-07-10,16,6.5,13.2,16,6.5,13.2,8.8,75.46,0.5,,4.17,,,,46.4,26.9,181.1,1015.8,39.5,11.3,,,0,,2021-07-10T07:51:39,2021-07-10T17:49:17,0,"Rain, Partially cloudy",Clearing in the afternoon with afternoon rain.,rain,"SUAA,86580099999,SUMU,86550199999,86585099999,86575099999"
Matto Grosso,2021-07-11,16.3,1.7,9,16.3,-0.8,8.6,3,69.2,0,,0,,,,,9.7,100,1019.3,18.9,11.4,,,0,,2021-07-11T07:51:21,2021-07-11T17:49:52,0.01,Clear,Clear conditions throughout the day.,clear-day,"SUAA,86580099999,SUMU,86550199999,86585099999,86575099999"
Matto Grosso,2021-07-12,16.8,10.1,13.9,16.8,10.1,13.9,12,88.71,14.98,,12.5,,,,,22.6,64.1,1014.7,95.4,8.3,,,0,,2021-07-12T07:51:01,2021-07-12T17:50:27,0.03,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"SUAA,86580099999,SUMU,86550199999,86585099999,86575099999"
Matto Grosso,2021-07-13,14.1,10.4,12.1,14.1,10.4,12,10.7,91.76,0.21,,8.33,,,,,19.9,141.8,1017.1,79.9,5.9,,,0,,2021-07-13T07:50:39,2021-07-13T17:51:04,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"SUAA,86580099999,SUMU,86550199999,86585099999,86575099999"
Matto Grosso,2021-07-14,12.3,10.2,11.3,12.3,10.2,11.3,9.3,87.69,0.9,,8.33,,,,,24,103.6,1019,91.1,8.9,,,0,,2021-07-14T07:50:15,2021-07-14T17:51:41,0.1,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"SUAA,86580099999,SUMU,86550199999,86585099999,86575099999"
Matto Grosso,2021-07-15,15.6,8.1,11.3,15.6,7.3,11.2,9.9,91,0.03,,4.17,,,,,17.4,219.8,1017.8,73.1,7.6,,,0,,2021-07-15T07:49:50,2021-07-15T17:52:18,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"SUAA,86580099999,SUMU,86550199999,86585099999,86575099999"
Matto Grosso,2021-07-16,14.3,3.8,8.6,14.3,3.8,8,6.4,87.29,0,,0,,,,,18.7,207.4,1017.3,21.1,9.4,,,0,,2021-07-16T07:49:24,2021-07-16T17:52:56,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SUAA,86580099999,SUMU,86550199999,86585099999,86575099999"
Matto Grosso,2021-07-17,11.9,7.1,9.3,11.9,5.2,7.8,4.4,72.98,0,,0,,,,61.2,30,252.8,1015.8,40.4,12.6,,,0,,2021-07-17T07:48:55,2021-07-17T17:53:35,0.25,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"SUAA,86580099999,SUMU,86550199999,86585099999,86575099999"
Matto Grosso,2021-07-18,10.3,8,9.1,10.3,3.3,6.6,4.9,75.07,0.3,,4.17,,,,70.6,45.5,235,1017.7,97.6,10,,,0,,2021-07-18T07:48:26,2021-07-18T17:54:15,0.31,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"SUAA,86580099999,SUMU,86550199999,86585099999,86575099999"
Matto Grosso,2021-07-19,9.8,3.6,7.6,6.9,3.5,5.5,4.6,81.68,0,,0,,,,,26.9,230.8,1024.8,61.8,11,,,0,,2021-07-19T07:47:54,2021-07-19T17:54:54,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SUAA,86580099999,SUMU,86550199999,86585099999,86575099999"
Matto Grosso,2021-07-20,16.2,2.3,8.7,16.2,-1,7.5,2.9,69.81,0,,0,,,,,22.3,313,1021.3,32.3,12.4,,,0,,2021-07-20T07:47:21,2021-07-20T17:55:35,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SUAA,86580099999,SUMU,86550199999,86585099999,86575099999"
Matto Grosso,2021-07-21,16.7,3.8,10.2,16.7,1.3,9.6,4.3,68.43,0,,0,,,,,10.3,173.6,1023,36.2,12,,,0,,2021-07-21T07:46:46,2021-07-21T17:56:15,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SUAA,86580099999,SUMU,86550199999,86585099999,86575099999"
Matto Grosso,2021-07-22,19.1,6.7,12.3,19.1,4.2,11.9,5.5,65.23,0,,0,,,,,18.1,29.9,1023.5,64.7,11.4,,,0,,2021-07-22T07:46:10,2021-07-22T17:56:56,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SUAA,86580099999,SUMU,86550199999,86585099999,86575099999"
Matto Grosso,2021-07-23,23.3,9.5,15.4,23.3,7.3,15.1,9.9,71,0,,0,,,,,15.5,106.5,1017.4,53.1,11.9,,,0,,2021-07-23T07:45:33,2021-07-23T17:57:38,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SUAA,86580099999,SUMU,86550199999,86585099999,86575099999"
Matto Grosso,2021-07-24,18.7,13,16,18.7,13,16,12.5,79.54,0,,0,,,,48.2,28.7,77.6,1014.5,83.9,8.3,,,0,,2021-07-24T07:44:53,2021-07-24T17:58:20,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SUAA,86580099999,SUMU,86550199999,86585099999,86575099999"
Matto Grosso,2021-07-25,20.2,12.4,15.7,20.2,12.4,15.7,14.3,91.4,30.05,,8.33,,,,46.4,28.3,154,1008.9,88.1,7.8,,,0,,2021-07-25T07:44:13,2021-07-25T17:59:02,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"SUAA,86580099999,SUMU,86550199999,86585099999,86575099999"
Matto Grosso,2021-07-26,12.6,8.3,10.7,12.6,6.9,10.3,7.7,82.2,0.23,,8.33,,,,,16.7,208,1015.6,57.3,12,,,0,,2021-07-26T07:43:30,2021-07-26T17:59:44,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"SUAA,86580099999,SUMU,86550199999,86585099999,86575099999"
Matto Grosso,2021-07-27,9.6,5.8,7.9,7.5,1.3,4.3,0.9,61.75,0.3,,8.33,,,,59.5,33.6,244.3,1017.8,60.1,11.9,,,0,,2021-07-27T07:42:47,2021-07-27T18:00:27,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"SUAA,86580099999,SUMU,86550199999,86585099999,86575099999"
Matto Grosso,2021-07-28,8.7,6.4,7.5,5.3,1.8,3.7,2.1,68.63,0.6,,12.5,,,,55.5,34.5,222.3,1021.8,78,11.2,,,0,,2021-07-28T07:42:02,2021-07-28T18:01:10,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"SUAA,86580099999,SUMU,86550199999,86585099999,86575099999"
Matto Grosso,2021-07-29,10.7,4.2,7.5,10.7,1.5,5.8,2.1,69.04,0,,0,,,,44.6,27.6,272.6,1025.9,24.9,12.5,,,0,,2021-07-29T07:41:15,2021-07-29T18:01:53,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SUAA,86580099999,SUMU,86550199999,86585099999,86575099999"
